"doc_id"	"term"	"freq"
"269"	"1"	"abbire"	1
"270"	"1"	"nonno"	9
"271"	"1"	"?"	113
"272"	"1"	".R"	3
"273"	"1"	"C."	1
"274"	"1"	"dentro"	10
"275"	"1"	"Mentre"	6
"276"	"1"	"continuare"	12
"277"	"1"	"caminare"	1
"278"	"1"	"suo"	186
"279"	"1"	"mamma"	4
"280"	"1"	"li"	36
"281"	"1"	"mentre"	15
"282"	"1"	"fretta"	4
"283"	"1"	"..."	35
"284"	"1"	"coso"	12
"285"	"1"	"succievo"	1
"286"	"1"	"mangia"	3
"287"	"1"	"prendere"	43
"288"	"1"	"capello"	14
"289"	"1"	"brutto"	5
"290"	"1"	"testa"	13
"291"	"1"	"occhiale"	5
"292"	"1"	"mettere"	79
"293"	"1"	"minuti"	4
"294"	"1"	"naso"	1
"295"	"1"	"buttare"	6
"296"	"1"	"nell"	14
"297"	"1"	"letto"	7
"298"	"1"	"aspettare"	49
"299"	"1"	"adormentare"	1
"300"	"1"	"russo"	1
"301"	"1"	"arivo"	1
"302"	"1"	"quando"	124
"303"	"1"	"lupo"	1
"304"	"1"	"mell"	1
"305"	"1"	"nonna|nonno"	3
"306"	"1"	"pancia"	4
"307"	"1"	"gonfio"	1
"308"	"1"	"subitto"	1
"309"	"1"	"cappisca"	1
"310"	"1"	"succiesso"	1
"311"	"1"	"coltelo"	1
"312"	"1"	"capecetto"	1
"313"	"1"	"Riempere"	1
"314"	"1"	"pietra"	5
"315"	"1"	"cuccrire"	1
"316"	"1"	"lago"	7
"317"	"1"	"ringraziare"	7
"318"	"1"	"salvadore"	1
"319"	"1"	"The"	1
"320"	"1"	"END"	1
"321"	"1"	"ieri"	46
"322"	"1"	"parco"	61
"323"	"1"	"signorina"	16
"324"	"1"	"simpatico"	10
"325"	"1"	"bisogno"	13
"326"	"1"	"aiuto"	20
"327"	"1"	"#"	267
"328"	"1"	"alto"	18
"329"	"1"	"forte"	28
"330"	"1"	"rapire"	8
"331"	"1"	"via"	31
"332"	"1"	"esitare"	5
"333"	"1"	"finire"	17
"334"	"1"	"correre"	34
"335"	"1"	"salvare"	21
"336"	"1"	"subito"	28
"337"	"1"	"lui"	70
"338"	"1"	"bravo"	5
"339"	"1"	"vincere"	4
"340"	"1"	"restare"	8
"341"	"1"	"giacere"	1
"342"	"1"	"terra"	40
"343"	"1"	"affascinare"	1
"344"	"1"	"come"	130
"345"	"1"	"fine"	27
"346"	"1"	"innamorare"	15
"347"	"1"	"sempre"	59
"348"	"1"	"lieto"	1
"349"	"1"	"mattina"	24
"350"	"1"	"successo"	9
"351"	"1"	"malinteso"	1
"352"	"1"	"ritornare"	1
"353"	"1"	"casa"	48
"354"	"1"	"fidanzato"	28
"355"	"1"	"serata"	6
"356"	"1"	"ragazzo"	80
"357"	"1"	"io"	97
"358"	"1"	"improvviso"	9
"359"	"1"	"musculoso"	1
"360"	"1"	"occhio"	19
"361"	"1"	"bruno"	1
"362"	"1"	"domandare"	3
"363"	"1"	"Signorina"	2
"364"	"1"	"bere"	5
"365"	"1"	"geloso"	2
"366"	"1"	"portare"	56
"367"	"1"	"aggressivo"	2
"368"	"1"	"uomo"	113
"369"	"1"	"sedere"	53
"370"	"1"	"arma|salvarme"	1
"371"	"1"	"aggredire"	1
"372"	"1"	"arrabiare"	11
"373"	"1"	"!"	115
"374"	"1"	"Bada"	1
"375"	"1"	"fatto"	8
"376"	"1"	"lasciare"	19
"377"	"1"	"succettere"	3
"378"	"1"	"strano"	22
"379"	"1"	"Marco"	11
"380"	"1"	"panchina"	23
"381"	"1"	"preferito"	18
"382"	"1"	"solito"	13
"383"	"1"	"circa"	19
"384"	"1"	"mezz"	2
"385"	"1"	"lettura"	3
"386"	"1"	"accorgere"	11
"387"	"1"	"coppia"	31
"388"	"1"	"sembrare"	42
"389"	"1"	"Cose"	1
"390"	"1"	"praticamente"	2
"391"	"1"	"tipo"	24
"392"	"1"	"muscoloso"	14
"393"	"1"	"urlare"	9
"394"	"1"	"ragazza"	54
"395"	"1"	"fino"	16
"396"	"1"	"momento"	31
"397"	"1"	"calma"	4
"398"	"1"	"pò"	6
"399"	"1"	"sole"	25
"400"	"1"	"L"	33
"401"	"1"	"spalla"	30
"402"	"1"	"sacco"	5
"403"	"1"	"patato"	3
"404"	"1"	"naturalmente"	8
"405"	"1"	"urlavo"	1
"406"	"1"	"ciò"	3
"407"	"1"	"alzzare"	1
"408"	"1"	"eroe"	4
"409"	"1"	"poverina"	1
"410"	"1"	"pugno"	10
"411"	"1"	"cadere"	34
"412"	"1"	"mille"	1
"413"	"1"	"grazie"	26
"414"	"1"	"salvato"	2
"415"	"1"	"purtroppo"	13
"416"	"1"	"invece"	35
"417"	"1"	"ringra|"	1
"418"	"1"	"ziare"	1
"419"	"1"	"poverino"	1
"420"	"1"	"arra|"	1
"421"	"1"	"bbiare"	1
"422"	"1"	"picchiare"	3
"423"	"1"	"minacciare"	2
"424"	"1"	"denuncia"	1
"425"	"1"	"polizia"	4
"426"	"1"	"intramettere"	1
"427"	"1"	"cui"	20
"428"	"1"	"sapere"	51
"429"	"1"	"niente"	38
"430"	"1"	"valere"	4
"431"	"1"	"pena"	3
"432"	"1"	"distrarre"	1
"433"	"1"	"prossimo"	12
"434"	"1"	"volta"	52
"435"	"1"	"La"	17
"436"	"1"	"storia"	12
"437"	"1"	"Amore"	1
"438"	"1"	"Sergio"	6
"439"	"1"	"tratto"	17
"440"	"1"	"aspetto"	3
"441"	"1"	"pugile"	1
"442"	"1"	"gridare"	32
"443"	"1"	"riconoscere"	3
"444"	"1"	"Paola"	4
"445"	"1"	"decidere"	29
"446"	"1"	"fra"	6
"447"	"1"	"poco"	47
"448"	"1"	"raggiungere"	6
"449"	"1"	"togliere"	3
"450"	"1"	"colpire"	9
"451"	"1"	"deliquio"	1
"452"	"1"	"irrivitare"	1
"453"	"1"	"commentare"	1
"454"	"1"	"sdraiare"	5
"455"	"1"	"Rocco"	3
"456"	"1"	"promesso"	1
"457"	"1"	"chiesa"	2
"458"	"1"	"sposare"	3
"459"	"1"	"Vai"	1
"460"	"1"	"oh"	4
"461"	"1"	"aiutare"	38
"462"	"1"	"poveraccio"	2
"463"	"1"	"donna"	90
"464"	"1"	"stravagante"	1
"465"	"1"	"xx"	8
"466"	"1"	"rapitare"	1
"467"	"1"	"fisico"	4
"468"	"1"	"straordinario"	1
"469"	"1"	"tutto"	185
"470"	"1"	"muscolato"	1
"471"	"1"	"un"	1
"472"	"1"	"incazzare"	1
"473"	"1"	"piede"	8
"474"	"1"	"comincia|"	2
"475"	"1"	"to"	4
"476"	"1"	"strilare"	2
"477"	"1"	"dare"	44
"478"	"1"	"botta"	3
"479"	"1"	"rapinatore"	4
"480"	"1"	"scoprire"	3
"481"	"1"	"rapi|"	1
"482"	"1"	"natore"	1
"483"	"1"	"xxx"	8
"484"	"1"	"Quindy"	2
"485"	"1"	"sucettere"	4
"486"	"1"	"sbaglio"	4
"487"	"1"	"All"	9
"488"	"1"	"allora"	25
"489"	"1"	"Provare"	1
"490"	"1"	"gioia"	2
"491"	"1"	"soltanto"	12
"492"	"1"	"cinema"	1
"493"	"1"	"ale"	1
"494"	"1"	"primo"	28
"495"	"1"	"apuntamento"	3
"496"	"1"	"raggazzo"	2
"497"	"1"	"perco"	4
"498"	"1"	"sucesso"	2
"499"	"1"	"qualcosa"	33
"500"	"1"	"comincare"	1
"501"	"1"	"piu"	18
"502"	"1"	"fuori"	18
"503"	"1"	"braccio"	7
"504"	"1"	"raggazo"	1
"505"	"1"	"schiafo"	1
"506"	"1"	"amore"	9
"507"	"1"	"colpa"	3
"508"	"1"	"perca"	22
"509"	"1"	"spiegare"	9
"510"	"1"	"succedere"	24
"511"	"1"	"cinque"	5
"512"	"1"	"minuto"	36
"513"	"1"	"male"	20
"514"	"1"	"o"	79
"515"	"1"	"tre"	27
"516"	"1"	"caud"	1
"517"	"1"	"par"	2
"518"	"1"	"tero"	2
"519"	"1"	"Lucia"	1
"520"	"1"	"grato"	3
"521"	"1"	"poi"	90
"522"	"1"	"panchiano"	1
"523"	"1"	"raccontare"	6
"524"	"1"	"grande"	62
"525"	"1"	"equivoco"	1
"526"	"1"	"E"	2
"527"	"1"	"cielo"	8
"528"	"1"	"azzurro"	5
"529"	"1"	"Paolo"	10
"530"	"1"	"aggobbire"	1
"531"	"1"	"signore"	73
"532"	"1"	"paura"	19
"533"	"1"	"tenere"	6
"534"	"1"	"spala"	1
"535"	"1"	"gridere"	2
"536"	"1"	"alzarere"	1
"537"	"1"	"espressione"	6
"538"	"1"	"esterrefatto"	1
"539"	"1"	"panca"	2
"540"	"1"	"legere"	2
"541"	"1"	"colpo"	13
"542"	"1"	"impro"	1
"543"	"1"	"robusto"	3
"544"	"1"	"capelle"	2
"545"	"1"	"long"	1
"546"	"1"	"biondo"	13
"547"	"1"	"velocemente"	9
"548"	"1"	"sorpressa"	1
"549"	"1"	"bionda"	17
"550"	"1"	"agitato"	1
"551"	"1"	"ventesimo"	4
"552"	"1"	"fidanzare"	1
"553"	"1"	"s"	8
"554"	"1"	"amare"	21
"555"	"1"	"deluso"	1
"556"	"1"	"giornata"	21
"557"	"1"	"unnico"	1
"558"	"1"	"nuvola"	1
"559"	"1"	"Siedere"	1
"560"	"1"	"dell"	17
"561"	"1"	"serverso"	1
"562"	"1"	"libero"	12
"563"	"1"	"improviso"	7
"564"	"1"	"rumore"	5
"565"	"1"	"infuriare"	1
"566"	"1"	"grido"	5
"567"	"1"	"normale"	6
"568"	"1"	"Coso"	3
"569"	"1"	"abbatto"	1
"570"	"1"	"quest"	7
"571"	"1"	"fiero"	2
"572"	"1"	"Traggere"	1
"573"	"1"	"furioso"	1
"574"	"1"	"spiagare"	1
"575"	"1"	"xxxxxx"	2
"576"	"1"	"xxxventesimo"	2
"577"	"1"	"peccare"	5
"578"	"1"	"sogno"	29
"579"	"1"	"anndiare"	1
"580"	"1"	"sognare"	19
"581"	"1"	"piccolo"	20
"582"	"1"	"nave"	16
"583"	"1"	"capitano"	6
"584"	"1"	"isola"	5
"585"	"1"	"abbandonato"	1
"586"	"1"	"arrabbiato"	2
"587"	"1"	"realtà"	3
"588"	"1"	"diretore"	1
"589"	"1"	"dorma"	1
"590"	"1"	"insultare"	5
"591"	"1"	"lavorare"	34
"592"	"1"	"rispond"	1
"593"	"1"	"devere"	1
"594"	"1"	"tornare"	11
"595"	"1"	"ogni"	34
"596"	"1"	"crociera"	1
"597"	"1"	"barchetta"	1
"598"	"1"	"società"	3
"599"	"1"	"snellare"	1
"600"	"1"	"snello"	1
"601"	"1"	"abbronzare"	1
"602"	"1"	"chiacchierare"	3
"603"	"1"	"uccello"	6
"604"	"1"	"cantare"	3
"605"	"1"	"mare"	39
"606"	"1"	"pacifico"	1
"607"	"1"	"albeggiare"	1
"608"	"1"	"addormentare"	5
"609"	"1"	"spiacevole"	2
"610"	"1"	"situazione"	15
"611"	"1"	"capo"	9
"612"	"1"	"qui"	14
"613"	"1"	"adirare"	1
"614"	"1"	"orario"	8
"615"	"1"	"Giulio"	3
"616"	"1"	"vacanza"	46
"617"	"1"	"estivo"	5
"618"	"1"	"avvicinare"	8
"619"	"1"	"parecchio"	2
"620"	"1"	"barca"	10
"621"	"1"	"là"	8
"622"	"1"	"collega"	3
"623"	"1"	"Laura"	6
"624"	"1"	"calmo"	3
"625"	"1"	"vede"	1
"626"	"1"	"severo"	7
"627"	"1"	"cattivo"	6
"628"	"1"	"comunque"	9
"629"	"1"	"immaginare"	12
"630"	"1"	"gentile"	9
"631"	"1"	"all"	20
"632"	"1"	"gli"	20
"633"	"1"	"girare"	12
"634"	"1"	"porto"	2
"635"	"1"	"solita"	1
"636"	"1"	"svegliare"	13
"637"	"1"	"accorto"	1
"638"	"1"	"quart"	1
"639"	"1"	"smettere"	4
"640"	"1"	"timbro"	2
"641"	"1"	"carta"	7
"642"	"1"	"regalare"	1
"643"	"1"	"sorriso"	7
"644"	"1"	"possedere"	1
"645"	"1"	"motore"	3
"646"	"1"	"Sicilia"	3
"647"	"1"	"figura"	6
"648"	"1"	"fantastico"	3
"649"	"1"	"faccia"	9
"650"	"1"	"angelo"	1
"651"	"1"	"gamba"	3
"652"	"1"	"irradiare"	1
"653"	"1"	"mugnaiaccio"	1
"654"	"1"	"volare"	5
"655"	"1"	"attorno"	8
"656"	"1"	"carina"	2
"657"	"1"	"bavo"	1
"658"	"1"	"cos"	1
"659"	"1"	"rabido"	1
"660"	"1"	"direttore"	10
"661"	"1"	"scusare"	2
"662"	"1"	"forse"	26
"663"	"1"	"realità"	1
"664"	"1"	"stavo"	7
"665"	"1"	"gita"	3
"666"	"1"	"invitare"	4
"667"	"1"	"pasare"	1
"668"	"1"	"intensivo"	1
"669"	"1"	"Ho"	1
"670"	"1"	"xventesimo"	6
"671"	"1"	"dimento"	1
"672"	"1"	"cato"	1
"673"	"1"	"attimo"	5
"674"	"1"	"Qu"	1
"675"	"1"	"mosso"	1
"676"	"1"	"veramente"	12
"677"	"1"	"matta"	1
"678"	"1"	"realta"	1
"679"	"1"	"riprendere"	1
"680"	"1"	"neri"	2
"681"	"1"	"ideale"	13
"682"	"1"	"Imaginare"	1
"683"	"1"	"panfilo"	1
"684"	"1"	"Adriatico"	1
"685"	"1"	"piacere"	83
"686"	"1"	"Chiacchierano"	1
"687"	"1"	"impro|"	1
"688"	"1"	"vviso"	1
"689"	"1"	"capiscere"	1
"690"	"1"	"probabilmente"	11
"691"	"1"	"aprire"	9
"692"	"1"	"padronina"	1
"693"	"1"	"rendere"	8
"694"	"1"	"conto"	10
"695"	"1"	"noiare"	1
"696"	"1"	"raggazza"	2
"697"	"1"	"parlare"	42
"698"	"1"	"cominco"	1
"699"	"1"	"toccare"	8
"700"	"1"	"mana"	1
"701"	"1"	"chefa"	1
"702"	"1"	"dormo"	1
"703"	"1"	"annoiare"	5
"704"	"1"	"compagnia"	6
"705"	"1"	"adesso"	15
"706"	"1"	"costume"	5
"707"	"1"	"bagno"	9
"708"	"1"	"punto"	14
"709"	"1"	"scandalo"	1
"710"	"1"	"nuovo"	32
"711"	"1"	"Pietro"	4
"712"	"1"	"stanco"	8
"713"	"1"	"affatto"	4
"714"	"1"	"concentrarere"	1
"715"	"1"	"xxxxx"	1
"716"	"1"	"blu"	2
"717"	"1"	"castano"	1
"718"	"1"	"le"	8
"719"	"1"	"tranquile"	1
"720"	"1"	"bikino"	2
"721"	"1"	"sorridente"	2
"722"	"1"	"xxxx"	2
"723"	"1"	"›"	1
"724"	"1"	"accatere"	1
"725"	"1"	"motteggio"	1
"726"	"1"	"sparire"	3
"727"	"1"	"svegliarare"	1
"728"	"1"	"tavola"	3
"729"	"1"	"irare"	1
"730"	"1"	"Ricardo"	1
"731"	"1"	"dormire"	8
"732"	"1"	"notte"	12
"733"	"1"	"dunque"	3
"734"	"1"	"scrivania"	5
"735"	"1"	"piacevole"	9
"736"	"1"	"improvvisamente"	3
"737"	"1"	"esagiere"	1
"738"	"1"	"scuotere"	1
"739"	"1"	"datore"	2
"740"	"1"	"domenica"	2
"741"	"1"	"buon"	8
"742"	"1"	"ce|"	1
"743"	"1"	"lebrare"	1
"744"	"1"	"compleanno"	1
"745"	"1"	"ubriaco"	1
"746"	"1"	"Uno"	1
"747"	"1"	"pare"	5
"748"	"1"	"sicuro"	8
"749"	"1"	"ricordare"	24
"750"	"1"	"snella"	1
"751"	"1"	"navigare"	3
"752"	"1"	"xxventesimo"	1
"753"	"1"	"sveglia"	3
"754"	"1"	"Cosa"	1
"755"	"1"	"Da"	1
"756"	"1"	"ufficio"	18
"757"	"1"	"party"	1
"758"	"1"	"bocca"	8
"759"	"1"	"parola"	23
"760"	"1"	"Gioio"	1
"761"	"1"	"gito"	1
"762"	"1"	"lavorita"	1
"763"	"1"	"Siedo"	1
"764"	"1"	"idea"	2
"765"	"1"	"altrove"	1
"766"	"1"	"Possedere"	1
"767"	"1"	"grando"	1
"768"	"1"	"aperto"	13
"769"	"1"	"pure"	5
"770"	"1"	"capa"	2
"771"	"1"	"corpo"	2
"772"	"1"	"splendere"	6
"773"	"1"	"davanti"	19
"774"	"1"	"svolazzare"	1
"775"	"1"	"vista"	16
"776"	"1"	"labbro"	2
"777"	"1"	"fortunato"	3
"778"	"1"	"vale"	1
"779"	"1"	"baciare"	14
"780"	"1"	"comprendere"	4
"781"	"1"	"Terrere"	1
"782"	"1"	"seno"	1
"783"	"1"	"Signor"	6
"784"	"1"	"Rossi"	9
"785"	"1"	"breve"	4
"786"	"1"	"passeggiata"	6
"787"	"1"	"vestire"	13
"788"	"1"	"uscire"	8
"789"	"1"	"strada"	16
"790"	"1"	"scuro"	8
"791"	"1"	"città"	26
"792"	"1"	"ombra"	9
"793"	"1"	"corso"	8
"794"	"1"	"veloce"	12
"795"	"1"	"quell"	12
"796"	"1"	"incontrare"	14
"797"	"1"	"vigile"	3
"798"	"1"	"ridere"	7
"799"	"1"	"proprio"	38
"800"	"1"	"Il"	15
"801"	"1"	"elegante"	4
"802"	"1"	"giacca"	5
"803"	"1"	"cappello"	7
"804"	"1"	"ristorante"	13
"805"	"1"	"pizza"	2
"806"	"1"	"quattro"	8
"807"	"1"	"formaggio"	13
"808"	"1"	"bicchiere"	4
"809"	"1"	"birra"	4
"810"	"1"	"pagare"	4
"811"	"1"	"illuminascere"	1
"812"	"1"	"voce"	23
"813"	"1"	"suono"	6
"814"	"1"	"spaventare"	13
"815"	"1"	"accelerare"	3
"816"	"1"	"nome"	4
"817"	"1"	"conoscere"	19
"818"	"1"	"cameriere"	3
"819"	"1"	"portar"	1
"820"	"1"	"cortesemente"	2
"821"	"1"	"finalmente"	5
"822"	"1"	"rilassante"	2
"823"	"1"	"buio"	10
"824"	"1"	"vuotere"	1
"825"	"1"	"silenzio"	3
"826"	"1"	"passo"	8
"827"	"1"	"Spaventare"	2
"828"	"1"	"età"	4
"829"	"1"	"56"	1
"830"	"1"	"anno"	28
"831"	"1"	"voltare"	1
"832"	"1"	"quasi"	20
"833"	"1"	"fiato"	1
"834"	"1"	"palazzo"	3
"835"	"1"	"qua"	2
"836"	"1"	"rincorrere"	1
"837"	"1"	"Roberto"	2
"838"	"1"	"occupare"	4
"839"	"1"	"$002$"	1
"840"	"1"	"pulizio"	1
"841"	"1"	"cilindro"	2
"842"	"1"	"rapitore"	2
"843"	"1"	"scorso"	3
"844"	"1"	"Londra"	1
"845"	"1"	"bar"	8
"846"	"1"	"celebre"	1
"847"	"1"	"ricco"	5
"848"	"1"	"the"	1
"849"	"1"	"Porterhouso"	1
"850"	"1"	"spina"	2
"851"	"1"	"partire"	12
"852"	"1"	"albergo"	13
"853"	"1"	"lusso"	1
"854"	"1"	"trapunto"	1
"855"	"1"	"stella"	2
"856"	"1"	"dietro"	14
"857"	"1"	"affrettare"	1
"858"	"1"	"chiappare"	1
"859"	"1"	"dio"	1
"860"	"1"	"tardo"	1
"861"	"1"	"piano"	9
"862"	"1"	"'po"	2
"863"	"1"	"agitare"	1
"864"	"1"	"cameriera"	4
"865"	"1"	"ladro"	17
"866"	"1"	"morire"	7
"867"	"1"	"assalire"	4
"868"	"1"	"que"	2
"869"	"1"	"seguire"	12
"870"	"1"	"fortunare"	2
"871"	"1"	"taverna"	2
"872"	"1"	"costoso"	1
"873"	"1"	"trascorrere"	7
"874"	"1"	"birre"	1
