date,learner,content
30/08/2018 9.23.30,L049,Mi piace quando il mio ragazzo mi augura i sogni d´oro in slovacco. 
30/08/2018 9.23.30,L049,Pochi giorni fa qualcuno mi voleva affogare nel mare.
30/08/2018 9.23.30,L049,"Conosco un bambino che é molto carino,
 ma a volta sembra un piccolo diavolo."
30/08/2018 9.23.30,L049,Non ho mai visto il film Ultimo tango a Parigi. 
30/08/2018 9.23.30,L049,Samioedo è un bellissimo cane bianco. 
30/08/2018 9.23.30,L049,Il mio vicino di casa è un bravo giovane calciatore. 
30/08/2018 15.49.09,L090,Mi piace frutta fresca
30/08/2018 15.49.09,L090,Facciamo la colazione in piscina
30/08/2018 15.49.09,L090,A mia moglie piace le rose rosse
30/08/2018 15.49.09,L090,Ho letto il libro Uomini che odiano le donne
30/08/2018 15.49.09,L090,I gioielli piu cari sono fatti d´oro
30/08/2018 15.49.09,L090,Nei prossimi mesi andro al mare
30/08/2018 15.49.09,L090,Il figlio di mia sorella e piccolo diavolo
30/08/2018 15.49.09,L090,Ultimo tango a Parigi e un film interessante
30/08/2018 15.49.09,L090,Il mio vicino ha un cane bianco
30/08/2018 15.49.09,L090,Mio figlio sara un giovane calciatore
30/08/2018 20.13.07,L074,Adoro la frutta fresca che coltiva mia nonna.
30/08/2018 20.13.07,L074,"Fa caldo,
 potremmo fare colazione in piscina."
30/08/2018 20.13.07,L074,Il suo fidanzato le ha portato delle rose rosse.
30/08/2018 20.13.07,L074,Uomini che odiano le donne in fondo le amano.
30/08/2018 20.13.07,L074,Mi piace questo anello d'oro.
30/08/2018 20.13.07,L074,Ho una gran voglia di buttarmi nel mare.
30/08/2018 20.13.07,L074,Quel piccolo diavolo di suo cane mi ha rovinato le piante.
30/08/2018 20.13.07,L074,"Se dovessi morire domani,
 vorrei ballare un ultimo tango a Parigi con te."
30/08/2018 20.13.07,L074,Ho sempre sognato di avere un cane bianco.
30/08/2018 20.13.07,L074,Quel giovane calciatore è il nostro vicino di casa.
31/08/2018 13.32.39,L087,Mi piace una macedonie di frutta fresca preparata dalla mia zia.
31/08/2018 13.32.39,L087,Potrebbe suonare strano ma in un sogno ho visto un mio amico che ama nuotare fare colazione in una vuota piscina con bellissime piastrelle palido turchine.
31/08/2018 13.32.39,L087,"Tutti gli italiani conoscono una vecchia canzone ""Rose rosse"" cantata da M. Ranieri."
31/08/2018 13.32.39,L087,"""Uomini che odiano le donne"" è un thriller."
31/08/2018 13.32.39,L087,Gli ufficiali nell'esercito austriaco ebbero sulle loro divise bottoni d´oro.
31/08/2018 13.32.39,L087,Il mare calmo come vetro ci ha invitato a tuffarsi ed a nuotare fino all'orizzonte dove era oltremare.
31/08/2018 13.32.39,L087,La mia amica chiama suo figlio troppo attivo il mio piccolo diavolo.
31/08/2018 13.32.39,L087,"Stasera vorrei guardare un film ""Ultimo tango a Parigi"" dagli anni settanta."
31/08/2018 13.32.39,L087,"""Cane bianco"" é un film con un messaggio antirazzista."
31/08/2018 13.32.39,L087,Mio fratello è un giovane calciatore di cui credono che sia molto promettente.
